model,expression,KL(expr || neutral),"JS(expr, neutral)",alpha_star,significant,significant_mark
proteus,happy,0.12804540023745045,0.03261297857515289,0.0010416666666666667,True,*
proteus,surprised,0.2576325939564095,0.09301674450637788,0.0010416666666666667,True,*
proteus,fear,0.45458055889214577,0.10912028517285612,0.0010416666666666667,True,*
proteus,sad,0.4720972594962141,0.1234642574718486,0.0010416666666666667,True,*
proteus,angry,3.124624541395294,0.6930490799185735,0.0010416666666666667,True,*
proteus,disgusted,3.5503430938046523,0.7394749445231263,0.0010416666666666667,True,*
