Model,JS (Age),JS (Gender),JS (Race),JS (Joint)
FLUX-Schnell,0.3255804864582896,0.012621579303822728,0.008626489433906218,0.3477442390865029
Proteus,0.19116401466098645,0.005561024258733204,0.009309967871398872,0.20698918573739866
SANA,0.08325697272607979,0.029028672525697047,0.0009406507200680051,0.1036108045549851
SD3,0.09113051402584679,0.015104856697633251,0.007670857867834425,0.1369285828003256
Hunyuan,0.014882930003500435,0.005030228219763139,0.011956040805337891,0.06650096850396262
Kolors,0.01240009794121228,0.0012162037296424041,0.0037223160002618537,0.02386998652364019
Qwen,0.004037120890653744,0.02042925488372864,0.016260356928758404,0.04331602073831045
Wan2.1,0.022920801720616394,0.0012802343999945007,0.026570744422718083,0.06386231179104009
